threshold,precision,recall,f1,predicted_positive_rate
0.05,0.2299676607977003,0.9984399375975039,0.37383177570093457,0.7391766268260292
0.060000000000000005,0.24230915305734904,0.9953198127925117,0.3897373243738546,0.69933598937583
0.07,0.2536779324055666,0.9953198127925117,0.40430925221799746,0.6679946879150066
0.08000000000000002,0.26605504587155965,0.9953198127925117,0.4198749588680487,0.6369189907038513
0.09000000000000001,0.2760416666666667,0.9921996879875195,0.43191850594227504,0.6119521912350597
0.1,0.2844364937388193,0.9921996879875195,0.4421272158498436,0.5938911022576361
0.11000000000000001,0.2966775854000936,0.9890795631825273,0.4564434845212383,0.5675962815405047
0.12000000000000002,0.3093137254901961,0.984399375975039,0.4707198806415517,0.5418326693227091
0.13,0.32040816326530613,0.9797191887675507,0.4828911956939639,0.5205843293492696
0.14,0.33192165166754894,0.9781591263650546,0.4956521739130435,0.5017264276228419
0.15000000000000002,0.34376716090060405,0.9765990639625585,0.5085296506904955,0.48366533864541833
0.16000000000000003,0.352112676056338,0.9750390015600624,0.5173841059602649,0.4714475431606906
0.17000000000000004,0.36006924408540103,0.9734789391575663,0.5256950294860994,0.4602921646746348
0.18000000000000002,0.3723849372384937,0.9719188767550702,0.5384615384615384,0.44435590969455513
0.19000000000000003,0.3852813852813853,0.9719188767550702,0.5518157661647476,0.4294820717131474
0.20000000000000004,0.3959261616804583,0.9703588143525741,0.5623869801084991,0.41726427622841966
0.21000000000000002,0.4040338321405335,0.968798751950078,0.5702479338842975,0.40823373173970784
0.22000000000000003,0.41294196130753835,0.9656786271450858,0.5785046728971963,0.398140770252324
0.23000000000000004,0.4185888738127544,0.9625585023400937,0.583451536643026,0.39150066401062417
0.24000000000000005,0.4268884268884269,0.9609984399375975,0.5911708253358925,0.38326693227091635
0.25000000000000006,0.43380281690140843,0.9609984399375975,0.5977680737506065,0.37715803452855245
0.26000000000000006,0.4430835734870317,0.9594383775351014,0.6062099556431739,0.3686586985391766
0.27,0.450476889214967,0.9578783151326054,0.6127744510978044,0.36201859229747674
0.28,0.4633408919123205,0.9563182527301092,0.6242362525458248,0.35139442231075696
0.29000000000000004,0.47113163972286376,0.9547581903276131,0.6309278350515464,0.3450199203187251
0.30000000000000004,0.48104265402843605,0.9500780031201248,0.6386995280545359,0.3362549800796813
