threshold,precision,recall,f1,predicted_positive_rate
0.05,0.27466666666666667,0.9903846153846154,0.430062630480167,0.6637168141592921
0.060000000000000005,0.29066478076379065,0.9879807692307693,0.4491803278688525,0.6256637168141593
0.07,0.30873493975903615,0.9855769230769231,0.4701834862385321,0.5876106194690266
0.08000000000000002,0.3272146847565842,0.9855769230769231,0.49131216297183944,0.554424778761062
0.09000000000000001,0.3408146300914381,0.9855769230769231,0.506485484867202,0.5323008849557522
0.1,0.3568320278503046,0.9855769230769231,0.5239616613418531,0.5084070796460177
0.11000000000000001,0.3704710144927536,0.9831730769230769,0.5381578947368421,0.48849557522123893
0.12000000000000002,0.3836003770028275,0.9783653846153846,0.5511171293161814,0.46946902654867256
0.13,0.3978494623655914,0.9783653846153846,0.5656706045865184,0.4526548672566372
0.14,0.4127789046653144,0.9783653846153846,0.5805991440798859,0.43628318584070797
0.15000000000000002,0.42513089005235605,0.9759615384615384,0.5922684172137126,0.4225663716814159
0.16000000000000003,0.4370290635091496,0.9759615384615384,0.6037174721189591,0.41106194690265485
0.17000000000000004,0.44419889502762433,0.9663461538461539,0.6086298258894777,0.4004424778761062
0.18000000000000002,0.4552661381653454,0.9663461538461539,0.6189376443418014,0.39070796460176993
0.19000000000000003,0.46412037037037035,0.9639423076923077,0.6265625,0.3823008849557522
0.20000000000000004,0.4737470167064439,0.9543269230769231,0.6331738437001595,0.37079646017699114
0.21000000000000002,0.47946859903381644,0.9543269230769231,0.6382636655948553,0.3663716814159292
0.22000000000000003,0.4931506849315068,0.9519230769230769,0.649712879409352,0.35530973451327436
0.23000000000000004,0.5044585987261146,0.9519230769230769,0.6594504579517069,0.3473451327433628
0.24000000000000005,0.5109677419354839,0.9519230769230769,0.6649874055415617,0.34292035398230086
0.25000000000000006,0.5217965653896962,0.9495192307692307,0.6734867860187553,0.3349557522123894
0.26000000000000006,0.5252659574468085,0.9495192307692307,0.6763698630136986,0.3327433628318584
0.27,0.5367847411444142,0.9471153846153846,0.6852173913043478,0.3247787610619469
0.28,0.543448275862069,0.9471153846153846,0.6906222611744084,0.32079646017699115
0.29000000000000004,0.5550847457627118,0.9447115384615384,0.699288256227758,0.31327433628318585
0.30000000000000004,0.5632183908045977,0.9423076923076923,0.7050359712230215,0.30796460176991153
0.31000000000000005,0.5672937771345875,0.9423076923076923,0.7082204155374887,0.30575221238938055
0.32000000000000006,0.5766961651917404,0.9399038461538461,0.7148080438756855,0.3
0.33000000000000007,0.5847076461769115,0.9375,0.7202216066481995,0.29513274336283185
