ticker,date,text,source,url,news_status
NVDA,2026-05-08,"Nvidia’s AI dominance faces uncomfortable new reality. Nvidia has spent the past two years looking almost untouchable. The chipmaker’s graphics processing units have formed the backbone of the artificial intelligence boom, powering the data centers, cloud platforms and large language models that have turned AIinto Wall Street’s favorite growth story",Yahoo,https://finnhub.io/api/news?id=9ca502f2341c2d7dffe11e37e9713d9c78c6d92eceaaa4a08855276140f2fc96,supabase
NVDA,2026-05-08,"Why Joby Aviation Stock Soared 11.3% Last Month and Is Rocketing Higher in May. Following its rally in April, Joby served up Q1 sales data this month that has investors excited",Yahoo,https://finnhub.io/api/news?id=15d4fd229495ca8fc564ebe3ffe4cf3388de2cba1d46a72996bba416bfd28e24,supabase
NVDA,2026-05-08,Better Than Intuitive Surgical? 1 Under-the-Radar Healthcare Stock to Buy and Hold Forever. Intuitive Surgical's success hints that this competitor could have more growth potential than investors think,Yahoo,https://finnhub.io/api/news?id=32a349520d948bffa3b6c032274fdc5e9a4395b12629ac604a94cf42c4bcec2e,supabase
NVDA,2026-05-08,Why Poet Stock Gained 19.9% Last Month and Is Skyrocketing in May. Poet has been one of the market's most exciting and volatile stocks over the last couple months,Yahoo,https://finnhub.io/api/news?id=205cd6ccde3c30456493ad05b0f7a63eea4ba4d060886dfed7e0e41b65792a4e,supabase
NVDA,2026-05-08,"Stock Market Today, May 8: Iren Jumps After Announcing Multi-Year Nvidia Partnership. Today, May 8, 2026, a massive Nvidia-backed AI cloud push is reshaping this crypto miner into a vertically integrated data center player",Yahoo,https://finnhub.io/api/news?id=caa38a2538c88052a9f060ffc5ec48fd2ac337d5b6b71985b3f295f68f1ea1dc,supabase
NVDA,2026-05-08,"ServiceNow Aims To Be Enterprise AI Control Plane After Knowledge 2026. ServiceNow (NYSE:NOW) used its Knowledge 2026 conference to roll out Project Arc with NVIDIA, targeting secure autonomous AI agents across enterprise workflows. The company expanded its AI Control Tower for stronger AI governance and introduced ServiceNow Otto, a conversational AI spanning the full platform. New partnerships with Lenovo, Microsoft, FedEx and others focus on unified AI workflow automation, device lifecycle, regulated data and supply chain use cases. Following the Armis and",Yahoo,https://finnhub.io/api/news?id=877930f66a5accfe08ca7f7ea9e62b36c2246932a3da71b175555c45589d0816,supabase
NVDA,2026-05-08,"Why Dutch Bros Stock Ascended by Nearly 14% in April. A clutch of analysts weighed in with new, bullish takes on the coffee shop operator",Yahoo,https://finnhub.io/api/news?id=d968b2d5e06f82991f0b800cc9fc13adb53f738114de8ab0b7d6f334acf31e60,supabase
NVDA,2026-05-08,"Intel CEO Who Won Over Trump and Musk Now Needs a Breakthrough. (Bloomberg) -- After Lip-Bu Tan became chief executive officer of Intel Corp. in March of last year, the struggling company’s shares went nowhere for seven months while the chipmaker was getting trounced in the market for artificial intelligence.Most Read from BloombergBillionaire Duke of Westminster to Sell £700 Million of US Real Estate AssetsUS Fires on Iranian Targets as Trump Demands Deal From TehranSony to Pay Almost $4 Billion for Bieber, Neil Young CatalogDOJ Plans Intervention in Trump",Yahoo,https://finnhub.io/api/news?id=7f82241d2b5a568b81518a489ed469a037bb5522a5adbb0c3af1869a7ed88a75,supabase
NVDA,2026-05-08,PPL Corporation Q1 2026 Earnings Call Summary. Moby summary of PPL Corporation's Q1 2026 earnings call,Yahoo,https://finnhub.io/api/news?id=8bf1db4b7bd50e916a53fca627c3dea860108882c851bbd3f8f6a323cd5d1476,supabase
NVDA,2026-05-08,Could Nvidia Become the First $10 Trillion Company?. The leading chipmaker's business continues to grow at an impressive pace,Yahoo,https://finnhub.io/api/news?id=aa803654dee75762bfbc55c22ef57ab57f62a0b3cf99a50d4af5b614ad034a4d,supabase
