date,ticker,open,high,low,close,adj_close,volume
2025-05-09,MSFT,440.0,440.739990234375,435.8800048828125,438.7300109863281,435.3967590332031,15324200
2025-05-12,MSFT,445.94000244140625,449.3699951171875,439.7799987792969,449.260009765625,445.8467712402344,22821900
2025-05-13,MSFT,447.7799987792969,450.6700134277344,445.3599853515625,449.1400146484375,445.7276916503906,23618800
2025-05-14,MSFT,448.1400146484375,453.8999938964844,448.1400146484375,452.94000244140625,449.4988098144531,19902800
2025-05-15,MSFT,450.7699890136719,456.19000244140625,450.42999267578125,453.1300048828125,450.512939453125,21992300
2025-05-16,MSFT,452.04998779296875,454.3599853515625,448.7300109863281,454.2699890136719,451.6463317871094,23849800
2025-05-19,MSFT,450.8800048828125,459.5899963378906,450.79998779296875,458.8699951171875,456.2197570800781,21336500
2025-05-20,MSFT,455.5899963378906,458.3399963378906,454.32000732421875,458.1700134277344,455.5238342285156,15441800
2025-05-21,MSFT,454.57000732421875,457.7799987792969,451.80999755859375,452.57000732421875,449.9561767578125,19216900
2025-05-22,MSFT,454.95001220703125,460.25,453.8999938964844,454.8599853515625,452.2329406738281,18025600
2025-05-23,MSFT,449.9800109863281,453.69000244140625,448.9100036621094,450.17999267578125,447.5799560546875,16883500
2025-05-27,MSFT,456.4800109863281,460.95001220703125,456.1199951171875,460.69000244140625,458.0292663574219,20974300
2025-05-28,MSFT,461.2200012207031,462.5199890136719,456.92999267578125,457.3599853515625,454.7184753417969,17086300
2025-05-29,MSFT,461.54998779296875,461.7200012207031,455.30999755859375,458.67999267578125,456.0308837890625,13974800
2025-05-30,MSFT,459.7200012207031,461.67999267578125,455.5400085449219,460.3599853515625,457.7011413574219,34770500
2025-06-02,MSFT,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,459.3018798828125,16626500
2025-06-03,MSFT,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,460.29608154296875,15743800
2025-06-04,MSFT,464.0,465.69000244140625,463.0199890136719,463.8699951171875,461.1908874511719,14162700
2025-06-05,MSFT,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,464.9788818359375,20131700
2025-06-06,MSFT,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,467.663330078125,15285600
2025-06-09,MSFT,469.70001220703125,473.42999267578125,468.6199951171875,472.75,470.0196228027344,16469900
2025-06-10,MSFT,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,468.2002258300781,15375900
2025-06-11,MSFT,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,469.8903503417969,16399200
2025-06-12,MSFT,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,476.104248046875,18950600
2025-06-13,MSFT,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,472.2168273925781,16814500
2025-06-16,MSFT,475.2099914550781,480.69000244140625,475.0,479.1400146484375,476.3727111816406,15626100
2025-06-17,MSFT,475.3999938964844,478.739990234375,474.0799865722656,478.0400085449219,475.279052734375,15414100
2025-06-18,MSFT,478.0,481.0,474.4599914550781,480.239990234375,477.4663391113281,17526500
2025-06-20,MSFT,482.2300109863281,483.4599914550781,476.8699951171875,477.3999938964844,474.64276123046875,37576200
2025-06-23,MSFT,478.2099914550781,487.75,472.510009765625,486.0,483.1930847167969,24864000
2025-06-24,MSFT,488.95001220703125,491.8500061035156,486.79998779296875,490.1099853515625,487.2793273925781,22305600
2025-06-25,MSFT,492.0400085449219,494.55999755859375,489.3900146484375,492.2699890136719,489.4268798828125,17495100
2025-06-26,MSFT,492.9800109863281,498.0400085449219,492.80999755859375,497.45001220703125,494.57696533203125,21578900
2025-06-27,MSFT,497.54998779296875,499.29998779296875,493.0299987792969,495.94000244140625,493.07568359375,34539200
2025-06-30,MSFT,497.0400085449219,500.760009765625,495.3299865722656,497.4100036621094,494.5372009277344,28369000
2025-07-01,MSFT,496.4700012207031,498.04998779296875,490.9800109863281,492.04998779296875,489.2080993652344,19945400
2025-07-02,MSFT,489.989990234375,493.5,488.70001220703125,491.0899963378906,488.2536926269531,16319600
2025-07-03,MSFT,493.80999755859375,500.1300048828125,493.44000244140625,498.8399963378906,495.9589538574219,13984800
2025-07-07,MSFT,497.3800048828125,498.75,495.2300109863281,497.7200012207031,494.84539794921875,13981600
2025-07-08,MSFT,497.239990234375,498.20001220703125,494.1099853515625,496.6199951171875,493.7517395019531,11846600
2025-07-09,MSFT,500.29998779296875,506.7799987792969,499.739990234375,503.510009765625,500.6019592285156,18659500
2025-07-10,MSFT,503.04998779296875,504.44000244140625,497.75,501.4800109863281,498.58367919921875,16492100
2025-07-11,MSFT,498.4700012207031,505.0299987792969,497.79998779296875,503.32000732421875,500.41302490234375,16459500
2025-07-14,MSFT,501.5199890136719,503.9700012207031,501.0299987792969,503.0199890136719,500.1147766113281,12058800
2025-07-15,MSFT,503.0199890136719,508.29998779296875,502.7900085449219,505.82000732421875,502.89862060546875,14927200
2025-07-16,MSFT,505.17999267578125,506.7200012207031,501.8900146484375,505.6199951171875,502.69976806640625,15154400
2025-07-17,MSFT,505.67999267578125,513.3699951171875,505.6199951171875,511.70001220703125,508.7446594238281,17503100
2025-07-18,MSFT,514.47998046875,514.6400146484375,507.42999267578125,510.04998779296875,507.1041564941406,21209700
2025-07-21,MSFT,506.7099914550781,512.0900268554688,505.54998779296875,510.05999755859375,507.1141357421875,14066800
2025-07-22,MSFT,510.9700012207031,511.20001220703125,505.2699890136719,505.2699890136719,502.3517761230469,13868600
2025-07-23,MSFT,506.75,506.7900085449219,500.70001220703125,505.8699951171875,502.94830322265625,16396600
2025-07-24,MSFT,508.7699890136719,513.6699829101562,507.29998779296875,510.8800048828125,507.9294128417969,16107000
2025-07-25,MSFT,512.469970703125,518.2899780273438,510.3599853515625,513.7100219726562,510.74310302734375,19125700
2025-07-28,MSFT,514.0800170898438,515.0,510.1199951171875,512.5,509.5400390625,14308000
2025-07-29,MSFT,515.530029296875,517.6199951171875,511.55999755859375,512.5700073242188,509.6096496582031,16469200
2025-07-30,MSFT,515.1699829101562,515.9500122070312,509.44000244140625,513.239990234375,510.2757568359375,26380400
2025-07-31,MSFT,555.22998046875,555.4500122070312,531.9000244140625,533.5,530.4187622070312,51617300
2025-08-01,MSFT,535.0,535.7999877929688,520.8599853515625,524.1099853515625,521.0829467773438,28977600
2025-08-04,MSFT,528.27001953125,538.25,528.1300048828125,535.6400146484375,532.54638671875,25349000
2025-08-05,MSFT,537.1799926757812,537.2999877929688,527.239990234375,527.75,524.701904296875,19171600
2025-08-06,MSFT,530.9000244140625,531.7000122070312,524.030029296875,524.9400024414062,521.908203125,21355700
2025-08-07,MSFT,526.7999877929688,528.0900268554688,517.5499877929688,520.8400268554688,517.8318481445312,16079100
2025-08-08,MSFT,522.5999755859375,524.6599731445312,519.4099731445312,522.0399780273438,519.0249633789062,15531000
2025-08-11,MSFT,522.2999877929688,527.5900268554688,519.719970703125,521.77001953125,518.7565307617188,20194400
2025-08-12,MSFT,523.75,530.97998046875,522.7000122070312,529.239990234375,526.183349609375,18667000
2025-08-13,MSFT,532.1099853515625,532.7000122070312,519.3699951171875,520.5800170898438,517.5733642578125,19619200
2025-08-14,MSFT,522.5599975585938,525.9500122070312,520.1400146484375,522.47998046875,519.4623413085938,20269100
2025-08-15,MSFT,522.77001953125,526.0999755859375,519.0800170898438,520.1699829101562,517.1657104492188,25213300
2025-08-18,MSFT,521.5900268554688,522.8200073242188,514.02001953125,517.0999755859375,514.1134033203125,23760600
2025-08-19,MSFT,515.0,515.1599731445312,508.54998779296875,509.7699890136719,506.8258056640625,21481000
2025-08-20,MSFT,509.8699951171875,511.0,504.44000244140625,505.7200012207031,502.7991943359375,27723000
2025-08-21,MSFT,503.69000244140625,507.6300048828125,502.7200012207031,504.239990234375,502.15185546875,18443300
2025-08-22,MSFT,504.25,510.7300109863281,502.4100036621094,507.2300109863281,505.1295166015625,24324200
2025-08-25,MSFT,506.6300048828125,508.19000244140625,504.1199951171875,504.260009765625,502.17181396484375,21638600
2025-08-26,MSFT,504.3599853515625,504.9800109863281,498.510009765625,502.0400085449219,499.96099853515625,30835700
2025-08-27,MSFT,502.0,507.2900085449219,499.8999938964844,506.739990234375,504.6415100097656,17277900
2025-08-28,MSFT,507.0899963378906,511.0899963378906,505.5,509.6400146484375,507.5295104980469,18015600
2025-08-29,MSFT,508.6600036621094,509.6000061035156,504.489990234375,506.69000244140625,504.59173583984375,20961600
2025-09-02,MSFT,500.4700012207031,506.0,496.80999755859375,505.1199951171875,503.0282287597656,18128000
2025-09-03,MSFT,503.7900085449219,507.7900085449219,502.32000732421875,505.3500061035156,503.2572937011719,16345100
2025-09-04,MSFT,504.29998779296875,508.1499938964844,503.1499938964844,507.9700012207031,505.866455078125,15509500
2025-09-05,MSFT,509.07000732421875,511.9700012207031,492.3699951171875,495.0,492.9501647949219,31994800
2025-09-08,MSFT,498.1099853515625,501.20001220703125,495.0299987792969,498.20001220703125,496.13690185546875,16771000
2025-09-09,MSFT,501.42999267578125,502.25,497.70001220703125,498.4100036621094,496.3460388183594,14410500
2025-09-10,MSFT,502.9800109863281,503.2300109863281,496.7200012207031,500.3699951171875,498.29791259765625,21611800
2025-09-11,MSFT,502.25,503.1700134277344,497.8800048828125,501.010009765625,498.9352722167969,18881600
2025-09-12,MSFT,506.6499938964844,512.5499877929688,503.8500061035156,509.8999938964844,507.7884521484375,23624900
2025-09-15,MSFT,508.7900085449219,515.469970703125,507.0,515.3599853515625,513.225830078125,17143800
2025-09-16,MSFT,516.8800048828125,517.22998046875,508.6000061035156,509.0400085449219,506.9320068359375,19711900
2025-09-17,MSFT,510.6199951171875,511.2900085449219,505.92999267578125,510.0199890136719,507.9079284667969,15816600
