date,ticker,open,high,low,close,adj_close,volume
2025-05-08,EQT,54.40999984741211,54.59000015258789,53.220001220703125,53.400001525878906,52.781558990478516,9416500
2025-05-09,EQT,53.900001525878906,55.650001525878906,53.560001373291016,55.619998931884766,54.97584915161133,7707900
2025-05-12,EQT,56.04999923706055,56.11000061035156,54.0099983215332,54.4900016784668,53.85893630981445,12305900
2025-05-13,EQT,55.06999969482422,56.66999816894531,54.79999923706055,56.20000076293945,55.54913330078125,8429900
2025-05-14,EQT,55.65999984741211,56.65999984741211,55.349998474121094,56.36000061035156,55.707279205322266,6017700
2025-05-15,EQT,55.54999923706055,57.040000915527344,55.54999923706055,56.0,55.3514518737793,9102900
2025-05-16,EQT,55.84000015258789,56.040000915527344,55.43000030517578,55.86000061035156,55.213069915771484,4375000
2025-05-19,EQT,55.54999923706055,56.09000015258789,54.91999816894531,55.560001373291016,54.91654586791992,6377400
2025-05-20,EQT,55.880001068115234,57.369998931884766,55.529998779296875,56.13999938964844,55.48982238769531,5806300
2025-05-21,EQT,55.84000015258789,56.279998779296875,55.040000915527344,55.709999084472656,55.06480407714844,5669300
2025-05-22,EQT,55.9900016784668,56.31999969482422,55.22999954223633,55.689998626708984,55.045040130615234,7733200
2025-05-23,EQT,55.25,56.02000045776367,55.150001525878906,55.61000061035156,54.965965270996094,6813700
2025-05-27,EQT,56.08000183105469,56.61000061035156,55.29999923706055,56.560001373291016,55.904964447021484,5229200
2025-05-28,EQT,56.72999954223633,57.029998779296875,55.119998931884766,55.5,54.85723876953125,5046500
2025-05-29,EQT,55.61000061035156,56.02000045776367,55.119998931884766,55.369998931884766,54.72874450683594,3493200
2025-05-30,EQT,55.0,55.61000061035156,54.47999954223633,55.130001068115234,54.49152755737305,7853800
2025-06-02,EQT,56.45000076293945,57.189998626708984,55.75,56.65999984741211,56.003807067871094,7686100
2025-06-03,EQT,56.77000045776367,56.88999938964844,55.970001220703125,56.650001525878906,55.993919372558594,8247100
2025-06-04,EQT,56.540000915527344,56.7400016784668,55.29999923706055,55.4900016784668,54.847354888916016,4438700
2025-06-05,EQT,55.790000915527344,55.79999923706055,54.939998626708984,55.33000183105469,54.689208984375,4423600
2025-06-06,EQT,55.61000061035156,56.720001220703125,55.33000183105469,56.38999938964844,55.73693084716797,3826200
2025-06-09,EQT,56.08000183105469,56.08000183105469,54.61000061035156,54.900001525878906,54.264190673828125,7188200
2025-06-10,EQT,55.2400016784668,55.54999923706055,53.400001525878906,53.72999954223633,53.10773849487305,8012300
2025-06-11,EQT,54.02000045776367,54.68000030517578,53.7400016784668,53.970001220703125,53.3449592590332,5060500
2025-06-12,EQT,54.220001220703125,55.560001373291016,53.939998626708984,55.52000045776367,54.87700271606445,4919700
2025-06-13,EQT,55.880001068115234,56.959999084472656,54.31999969482422,56.84000015258789,56.18171691894531,7732500
2025-06-16,EQT,56.93000030517578,58.75,56.88999938964844,58.16999816894531,57.49631118774414,9217100
2025-06-17,EQT,58.5,59.11000061035156,57.88999938964844,58.869998931884766,58.18820571899414,6883000
2025-06-18,EQT,59.43000030517578,60.20000076293945,58.20000076293945,59.369998931884766,58.68241882324219,7527200
2025-06-20,EQT,59.439998626708984,60.79999923706055,58.779998779296875,60.439998626708984,59.740028381347656,11714600
2025-06-23,EQT,60.79999923706055,61.02000045776367,59.130001068115234,59.369998931884766,58.68241882324219,8520700
