date,SPY_return_1d,SPY_return_5d,market_volatility_20d,QQQ_return_1d,QQQ_return_5d,nasdaq_volatility_20d,VIX,VIX_change_1d,VIX_spike_5d
2013-06-11,-0.010315515271612452,-0.002812371374078415,0.007995852866676027,-0.009942736934687502,-0.004246541898544565,0.0068679225447307035,17.06999969482422,0.10556995846760597,0.04365370198229912
2013-06-12,-0.008277167706902566,0.0029763484518059435,0.007797643844677443,-0.011555976600252094,-0.002775913520684292,0.0071786602808115675,18.59000015258789,0.08904513678606274,0.12163632147913961
2013-06-13,0.015208696839982716,0.00909488739129638,0.008500952524084837,0.012665326116007458,0.004972384016081577,0.007792073520103024,16.40999984741211,-0.11726736349016686,-0.007259532779661404
2013-06-14,-0.006272541233621198,-0.009830159866367039,0.008548672701006276,-0.006597077279284158,-0.01512468482876328,0.007907043144918014,17.149999618530273,0.045094441072457636,0.01287502023572773
2013-06-17,0.007721594694078071,-0.0021844696825551457,0.00843510093417437,0.009684623539828019,-0.005992846948855157,0.007909600610648892,16.799999237060547,-0.02040818596238081,-0.023482938841581258
2013-06-18,0.007905637511900654,0.016186384370659557,0.00865316108046661,0.008221409242564759,0.0122437661267909,0.00816337851510737,16.610000610351562,-0.01130944257960742,-0.029336096655583566
2013-06-19,-0.013816872625941445,0.010510027500724606,0.009148034126204239,-0.011144328274236837,0.012665326116007458,0.00849898662202925,16.639999389648438,0.0018060673205622102,-0.004903740714279237
2013-06-20,-0.024778238772560357,-0.02929183740771757,0.010503754980479512,-0.023776845878790143,-0.023776845878790143,0.009787382072988276,20.489999771118164,0.23137022371916482,0.16832022419927561
2013-06-21,-0.0020701793281115988,-0.02518682152246776,0.010501491093668186,-0.0084471136763693,-0.025594888010028405,0.00990161957395277,18.899999618530273,-0.07759883701068104,0.05657423461130673
2013-06-24,-0.012636007248859715,-0.04487962036756943,0.010766102202936263,-0.009938903098240415,-0.044532746649856514,0.010048168823898454,20.110000610351562,0.0640212177906585,0.08409706794348049
